"SAMPLEID","LAT","LONG","INDEX_REGION","INDEX_NAME","ni_total","nt_CruMol","pi_ffg_pred","pi_ffg_shred","pi_habit_cling","pi_CruMol","nt_tv_toler","pt_NonIns","pi_habit_climb","pi_EPT","pi_EPTNoBaeHydro","pi_tv_toler","nt_EPT","pi_Cru","pt_tv_intol","nt_NonIns","pi_ffg_scrap","pi_IsopGastHiru","pi_NonIns","pi_Pleco","pt_tv_toler","pi_ffg_col","pi_habit_sprawl","nt_Trich","nt_habit_cling","pi_tv_intol"
"360156-6/21/07",46.31528,-88.68264,"VERYNARROW","MIEGLE_2020",242,4,26.4462809917355,7.02479338842975,10.7438016528926,7.43801652892562,3,25,14.4628099173554,15.2892561983471,13.6363636363636,13.6363636363636,11,0,25,7,9.09090909090909,4.95867768595041,11.9834710743802,0.413223140495868,10.7142857142857,50,29.7520661157025,7,11,10.7438016528926
"360158-6/13/12",46.29866,-88.87678,"NARROW","MIEGLE_2020",309,6,11.3268608414239,5.8252427184466,60.8414239482201,61.8122977346278,4,26.6666666666667,5.50161812297735,14.8867313915858,14.2394822006472,2.26537216828479,10,1.61812297734628,20,8,63.7540453074434,59.546925566343,67.6375404530744,0,13.3333333333333,17.7993527508091,10.6796116504854,4,8,9.38511326860841
"360158-6/20/07",46.29866,-88.87678,"NARROW","MIEGLE_2020",331,8,12.3867069486405,10.2719033232628,56.797583081571,51.6616314199396,5,31.4285714285714,2.7190332326284,20.5438066465257,19.9395770392749,1.51057401812689,13,2.7190332326284,28.5714285714286,11,54.0785498489426,48.036253776435,57.7039274924471,0.302114803625378,14.2857142857143,20.5438066465257,16.6163141993958,7,12,14.8036253776435
"360159-6/22/07",46.28545,-88.41127,"NARROW","MIEGLE_2020",259,2,10.8108108108108,5.01930501930502,10.03861003861,1.93050193050193,1,15.7894736842105,1.15830115830116,18.1467181467181,15.4440154440154,0.386100386100386,8,1.15830115830116,26.3157894736842,3,2.31660231660232,0,2.7027027027027,0,5.26315789473684,80.3088803088803,10.8108108108108,2,8,13.1274131274131
"360161-6/16/08",46.13464,-88.73177,"MIDSIZEDRY","MIEGLE_2020",316,6,13.2911392405063,18.9873417721519,28.1645569620253,25.9493670886076,6,21.4285714285714,14.873417721519,39.2405063291139,35.4430379746835,29.4303797468354,15,8.22784810126582,26.1904761904762,9,19.3037974683544,17.7215189873418,27.5316455696203,0.632911392405063,14.2857142857143,31.9620253164557,12.3417721518987,9,14,33.8607594936709
"360162-6/17/08",46.1244,-88.72398,"MIDSIZEDRY","MIEGLE_2020",295,8,3.38983050847458,15.2542372881356,35.2542372881356,29.8305084745763,4,32.258064516129,7.79661016949153,35.5932203389831,12.2033898305085,17.2881355932203,10,11.1864406779661,25.8064516129032,10,12.8813559322034,11.1864406779661,40.3389830508475,0,12.9032258064516,50.8474576271186,3.05084745762712,6,12,14.2372881355932
"360163-6/17/08",46.12375,-88.72274,"MIDSIZEDRY","MIEGLE_2020",283,5,4.9469964664311,40.2826855123675,34.6289752650177,43.4628975265018,3,20,1.76678445229682,38.1625441696113,21.9081272084806,2.12014134275618,15,36.0424028268551,40,6,13.4275618374558,7.77385159010601,49.8233215547703,0.706713780918728,10,27.5618374558304,6.00706713780919,9,12,27.208480565371
"360164-6/16/08",46.12688,-88.73109,"VERYNARROW","MIEGLE_2020",287,7,6.96864111498258,3.83275261324042,55.7491289198606,12.1951219512195,2,25,3.48432055749129,54.3554006968641,34.4947735191638,2.09059233449477,14,1.74216027874564,34.375,8,25.4355400696864,2.78745644599303,23.3449477351916,2.09059233449477,6.25,34.1463414634146,4.18118466898955,7,17,48.0836236933798
"360166-6/14/12",46.1689,-88.50404,"WETWIDE","MIEGLE_2020",237,5,16.0337552742616,17.2995780590717,34.5991561181435,32.4894514767932,3,22.5806451612903,2.9535864978903,29.535864978903,21.0970464135021,8.0168776371308,13,24.0506329113924,32.258064516129,7,14.3459915611814,2.10970464135021,35.4430379746835,1.68776371308017,9.67741935483871,40.9282700421941,3.79746835443038,5,14,23.2067510548523
"360167-6/13/12",46.26661,-88.77402,"MIDSIZEDRY","MIEGLE_2020",306,6,18.9542483660131,8.16993464052288,60.4575163398693,51.9607843137255,2,32.1428571428571,8.49673202614379,19.6078431372549,8.16993464052288,5.22875816993464,8,5.22875816993464,10.7142857142857,9,48.3660130718954,47.3856209150327,57.843137254902,0,7.14285714285714,24.1830065359477,16.9934640522876,4,8,3.92156862745098
